Entry Date,Exit Date,Profit
03-01-2023,18-01-2023,7.86E-05
04-01-2023,19-01-2023,8.17E-05
05-01-2023,20-01-2023,0.000289726
06-01-2023,23-01-2023,0.001045889
09-01-2023,24-01-2023,0.001905205
10-01-2023,25-01-2023,0.001496747
11-01-2023,26-01-2023,0.003266746
12-01-2023,27-01-2023,0.006533192
13-01-2023,30-01-2023,0.002130844
17-01-2023,31-01-2023,0.003583995
18-01-2023,01-02-2023,0.005308234
19-01-2023,02-02-2023,0.030042565
20-01-2023,03-02-2023,0.081522187
23-01-2023,06-02-2023,0.03715009
24-01-2023,07-02-2023,0.083209271
25-01-2023,08-02-2023,0.039234902
26-01-2023,09-02-2023,0.027212778
27-01-2023,10-02-2023,0.025039834
30-01-2023,13-02-2023,0.065278645
31-01-2023,14-02-2023,0.054144331
01-02-2023,15-02-2023,0.094732629
02-02-2023,16-02-2023,0.034541357
03-02-2023,17-02-2023,-0.032651229
06-02-2023,21-02-2023,-0.02318179
07-02-2023,22-02-2023,-0.068221144
08-02-2023,23-02-2023,-0.021686948
09-02-2023,24-02-2023,-0.022108525
10-02-2023,27-02-2023,-0.019037537
13-02-2023,28-02-2023,-0.057137302
14-02-2023,01-03-2023,-0.052745044
15-02-2023,02-03-2023,-0.093600486
16-02-2023,03-03-2023,-0.032904037
17-02-2023,06-03-2023,0.017872881
21-02-2023,07-03-2023,0.021444268
22-02-2023,08-03-2023,0.036538668
23-02-2023,09-03-2023,0.009278544
24-02-2023,10-03-2023,0.006699783
27-02-2023,13-03-2023,0.014827166
28-02-2023,14-03-2023,0.039357756
01-03-2023,15-03-2023,0.049938168
02-03-2023,16-03-2023,0.105070374
03-03-2023,17-03-2023,0.061078584
06-03-2023,20-03-2023,0.097452838
07-03-2023,21-03-2023,0.213874654
08-03-2023,22-03-2023,0.126127115
09-03-2023,23-03-2023,0.203192536
10-03-2023,24-03-2023,0.287370312
13-03-2023,27-03-2023,0.169190082
14-03-2023,28-03-2023,0.123557615
15-03-2023,29-03-2023,0.28239724
16-03-2023,30-03-2023,0.352279099
17-03-2023,31-03-2023,0.644113383
20-03-2023,03-04-2023,0.760328384
21-03-2023,04-04-2023,0.589700193
22-03-2023,05-04-2023,0.427856133
23-03-2023,06-04-2023,0.478161197
24-03-2023,10-04-2023,0.135152276
27-03-2023,11-04-2023,0.143238922
28-03-2023,12-04-2023,0.121160734
29-03-2023,13-04-2023,0.491607048
30-03-2023,14-04-2023,0.310230192
31-03-2023,17-04-2023,0.040282967
03-04-2023,18-04-2023,0.047099679
04-04-2023,19-04-2023,0.318213029
05-04-2023,20-04-2023,0.39275169
06-04-2023,21-04-2023,0.040905186
10-04-2023,24-04-2023,0.35530934
11-04-2023,25-04-2023,0.268733872
12-04-2023,26-04-2023,0.313007537
13-04-2023,27-04-2023,0.492984151
14-04-2023,28-04-2023,0.814597584
17-04-2023,01-05-2023,0.792562391
18-04-2023,02-05-2023,0.37741056
19-04-2023,03-05-2023,-0.03247913
20-04-2023,04-05-2023,-0.135017802
21-04-2023,05-05-2023,1.959163028
24-04-2023,08-05-2023,1.89285471
25-04-2023,09-05-2023,1.530934927
26-04-2023,10-05-2023,2.098906078
27-04-2023,11-05-2023,1.449327452
28-04-2023,12-05-2023,0.778794483
01-05-2023,15-05-2023,0.651339411
02-05-2023,16-05-2023,0.871813687
03-05-2023,17-05-2023,1.282789397
04-05-2023,18-05-2023,2.361568586
27-09-2023,11-10-2023,3.625546582
28-09-2023,12-10-2023,4.06368808
29-09-2023,13-10-2023,2.940735876
25-10-2023,08-11-2023,5.231399335
26-10-2023,09-11-2023,5.851706939
27-10-2023,10-11-2023,8.280266681
30-10-2023,13-11-2023,6.698891527
31-10-2023,14-11-2023,8.447433761
