Entry Date,Exit Date,Profit
03-01-2023,18-01-2023,0.000105669
04-01-2023,19-01-2023,0.000108019
05-01-2023,20-01-2023,0.00033978
06-01-2023,23-01-2023,0.001243245
09-01-2023,24-01-2023,0.002118546
10-01-2023,25-01-2023,0.001647974
11-01-2023,26-01-2023,0.003505702
12-01-2023,27-01-2023,0.006904013
13-01-2023,30-01-2023,0.00243796
17-01-2023,31-01-2023,0.003839769
18-01-2023,01-02-2023,0.00577816
19-01-2023,02-02-2023,0.030944038
20-01-2023,03-02-2023,0.082479205
23-01-2023,06-02-2023,0.038769886
24-01-2023,07-02-2023,0.083857726
25-01-2023,08-02-2023,0.040497048
26-01-2023,09-02-2023,0.027941735
27-01-2023,10-02-2023,0.025812592
30-01-2023,13-02-2023,0.067716109
31-01-2023,14-02-2023,0.055371157
01-02-2023,15-02-2023,0.095802504
02-02-2023,16-02-2023,0.036707026
03-02-2023,17-02-2023,-0.032839567
06-02-2023,21-02-2023,-0.024404946
07-02-2023,22-02-2023,-0.068198666
08-02-2023,23-02-2023,-0.021569995
09-02-2023,24-02-2023,-0.022530881
10-02-2023,27-02-2023,-0.01961837
13-02-2023,28-02-2023,-0.059034768
14-02-2023,01-03-2023,-0.053706638
15-02-2023,02-03-2023,-0.094782754
16-02-2023,03-03-2023,-0.034813021
17-02-2023,06-03-2023,0.019901387
21-02-2023,07-03-2023,0.022998353
22-02-2023,08-03-2023,0.036634059
23-02-2023,09-03-2023,0.008502735
24-02-2023,10-03-2023,0.006746261
27-02-2023,13-03-2023,0.014965892
28-02-2023,14-03-2023,0.039311235
01-03-2023,15-03-2023,0.050521248
02-03-2023,16-03-2023,0.108402867
03-03-2023,17-03-2023,0.060835544
06-03-2023,20-03-2023,0.095692484
07-03-2023,21-03-2023,0.211840905
08-03-2023,22-03-2023,0.128025404
09-03-2023,23-03-2023,0.203261041
10-03-2023,24-03-2023,0.291179308
13-03-2023,27-03-2023,0.173529272
14-03-2023,28-03-2023,0.124696837
15-03-2023,29-03-2023,0.285078151
16-03-2023,30-03-2023,0.351208266
17-03-2023,31-03-2023,0.648157578
20-03-2023,03-04-2023,0.75562122
21-03-2023,04-04-2023,0.590797363
22-03-2023,05-04-2023,0.423192348
23-03-2023,06-04-2023,0.479047853
24-03-2023,10-04-2023,0.130944401
27-03-2023,11-04-2023,0.141687443
28-03-2023,12-04-2023,0.122315834
29-03-2023,13-04-2023,0.49004727
30-03-2023,14-04-2023,0.316401945
31-03-2023,17-04-2023,0.043678963
03-04-2023,18-04-2023,0.046900993
04-04-2023,19-04-2023,0.325797452
05-04-2023,20-04-2023,0.391472703
06-04-2023,21-04-2023,0.046198274
10-04-2023,24-04-2023,0.36141419
11-04-2023,25-04-2023,0.263414394
12-04-2023,26-04-2023,0.308108729
13-04-2023,27-04-2023,0.486132216
14-04-2023,28-04-2023,0.810016683
17-04-2023,01-05-2023,0.786491107
18-04-2023,02-05-2023,0.375756169
19-04-2023,03-05-2023,-0.032765615
20-04-2023,04-05-2023,-0.132763012
21-04-2023,05-05-2023,1.942069689
24-04-2023,08-05-2023,1.876736383
25-04-2023,09-05-2023,1.528986248
26-04-2023,10-05-2023,2.09063343
27-04-2023,11-05-2023,1.443786543
28-04-2023,12-05-2023,0.781997765
01-05-2023,15-05-2023,0.651211929
02-05-2023,16-05-2023,0.879470113
03-05-2023,17-05-2023,1.27808977
04-05-2023,18-05-2023,2.370128458
27-09-2023,11-10-2023,3.631398975
28-09-2023,12-10-2023,4.060959587
29-09-2023,13-10-2023,2.936577244
25-10-2023,08-11-2023,5.242387945
26-10-2023,09-11-2023,5.858547784
27-10-2023,10-11-2023,8.272787228
30-10-2023,13-11-2023,6.695121086
31-10-2023,14-11-2023,8.452168136
